wavelength_nm,absorption_coefficient_1/mm,scattering_coefficient_1/mm,reflectance_nd,transmittance_nd,reflectance_dark_american_negro_nd,reflectance_fair_complexioned_white_nd
300,2.1,1.7,0.1,0,0.06,0.1
310,2.16,1.65,0.097,,0.062,0.14
320,2.22,1.6,0.0942,,0.064,0.18
330,2.28,1.55,0.0914,,0.066,0.2
340,2.34,1.5,0.0885,,0.068,0.2
350,2.4,1.5167,0.0857,0.001,0.07,0.22
360,2.36,1.5333,0.0828,,0.072,0.24
370,2.32,1.55,0.08,0.001,0.074,0.26
380,2.28,1.5667,0.083,,0.076,0.28
390,2.24,1.5833,0.086,,0.078,0.26
400,2.2,1.6,0.09,0.004,0.08,0.25
410,2.12,1.68,0.098,,0.082,0.245
420,2.04,1.76,0.106,,0.084,0.24
430,1.96,1.84,0.114,,0.086,0.235
440,1.88,1.92,0.122,,0.09,0.231
450,1.8,2,0.13,0.005,0.091,0.245
460,1.61,1.84,0.134,,0.091,0.261
470,1.42,1.68,0.138,,0.092,0.277
480,1.23,1.52,0.142,,0.092,0.3
490,1.04,1.36,0.146,,0.096,0.322
500,0.85,1.2,0.15,0.032,0.096,0.345
510,0.88,1.22,0.148,,0.096,0.345
520,0.91,1.24,0.146,,0.1,0.345
530,0.94,1.26,0.144,,0.1,0.364
540,0.97,1.28,0.142,,0.1,0.364
550,1,1.3,0.14,0.022,0.106,0.364
560,0.9,1.28,0.154,,0.106,0.378
570,0.8,1.26,0.168,,0.108,0.378
580,0.7,1.24,0.182,,0.108,0.399
590,0.6,1.22,0.196,,0.108,0.399
600,0.5,1.2,0.21,0.083,0.116,0.406
610,0.454,1.16,0.222,,0.116,0.396
620,0.408,1.12,0.234,,0.116,0.396
630,0.362,1.08,0.246,,0.121,0.379
640,0.316,1.04,0.258,,0.121,0.37
650,0.27,1,0.27,0.188,0.121,0.381
660,0.258,0.99,0.274,,0.124,0.381
670,0.246,0.98,0.278,,0.124,0.391
680,0.234,0.97,0.282,,0.129,0.385
690,0.222,0.96,0.286,,0.129,0.385
700,0.21,0.95,0.29,0.245,0.14,0.375
710,0.204,0.93,0.292,,0.14,0.422
720,0.198,0.91,0.294,,0.14,0.488
730,0.192,0.89,0.296,,0.14,0.506
740,0.186,0.87,0.298,,0.167,0.546
750,0.18,0.85,0.3,0.287,0.181,0.58
760,0.176,0.86,0.302,,0.193,0.599
770,0.172,0.87,0.304,,0.193,0.622
780,0.168,0.88,0.306,,0.193,0.636
790,0.164,0.89,0.308,,0.211,0.636
800,0.16,0.9,0.31,0.296,0.223,0.636
810,0.163,0.91,0.31,,0.223,0.647
820,0.166,0.92,0.31,,0.233,0.647
830,0.169,0.93,0.31,,0.241,0.659
840,0.172,0.94,0.31,,0.249,0.659
850,0.175,0.95,0.31,,0.249,0.666
860,0.178,0.96,0.31,,0.259,0.675
870,0.181,0.97,0.31,,0.271,0.675
880,0.184,0.98,0.31,,0.271,0.675
890,0.187,0.99,0.31,,0.282,0.681
900,0.19,1,0.31,0.248,0.282,0.691
910,0.192,0.99,0.307,,0.296,0.691
920,0.194,0.98,0.304,,0.306,0.691
930,0.196,0.97,0.301,,0.306,0.698
940,0.198,0.96,0.298,,0.302,0.698
950,0.2,0.95,0.295,,0.314,0.698
960,0.202,0.94,0.292,,0.314,0.696
970,0.204,0.93,0.289,,0.326,0.696
980,0.206,0.92,0.286,,0.326,0.693
990,0.208,0.91,0.283,,0.34,0.693
1000,0.21,0.9,0.28,0.265,0.34,0.688
1010,0.205,0.878,0.278,,0.351,0.688
1020,0.2,0.856,0.276,,0.351,0.684
1030,0.195,0.834,0.274,,0.365,0.686
1040,0.19,0.812,0.272,,0.365,0.686
1050,0.185,0.79,0.27,,0.365,0.688
1060,0.18,0.768,0.268,,0.377,0.688
1070,0.175,0.746,0.266,,0.389,0.687
1080,0.17,0.724,0.264,,0.389,0.687
1090,0.165,0.702,0.262,,0.401,0.687
1100,0.16,0.68,0.26,0.33,0.401,0.678
1110,0.169,0.672,0.254,,0.401,0.675
1120,0.178,0.664,0.248,,0.413,0.667
1130,0.187,0.656,0.242,,0.413,0.667
1140,0.196,0.648,0.236,,0.42,0.657
1150,0.205,0.64,0.23,,0.42,0.646
1160,0.214,0.632,0.224,,0.435,0.646
1170,0.223,0.624,0.218,,0.435,0.631
1180,0.232,0.616,0.212,,0.435,0.619
1190,0.241,0.608,0.206,,0.425,0.589
1200,0.25,0.6,0.2,0.306,0.425,0.589
1210,0.252,0.592,0.198,,0.415,0.578
1220,0.254,0.584,0.196,,0.415,0.564
1230,0.256,0.576,0.194,,0.4,0.551
1240,0.258,0.568,0.192,,0.407,0.559
1250,0.26,0.56,0.19,,0.407,0.559
1260,0.262,0.552,0.188,,0.423,0.583
1270,0.264,0.544,0.186,,0.423,0.583
1280,0.266,0.536,0.184,,0.437,0.595
1290,0.268,0.528,0.182,,0.449,0.595
1300,0.27,0.52,0.18,0.323,0.449,0.608
1310,0.313,0.517,0.171,,0.464,0.626
1320,0.356,0.514,0.162,,0.456,0.615
1330,0.399,0.511,0.153,,0.456,0.615
1340,0.442,0.508,0.144,,0.449,0.575
1350,0.485,0.505,0.135,,0.41,0.535
1360,0.528,0.502,0.126,,0.389,0.507
1370,0.571,0.499,0.117,,0.344,0.448
1380,0.614,0.496,0.108,,0.326,0.388
1390,0.657,0.493,0.099,,0.307,0.388
1400,0.7,0.49,0.09,0.126,0.307,0.388
1410,0.75,0.482,0.086,,0.302,0.376
1420,0.8,0.474,0.082,,0.298,0.353
1430,0.85,0.466,0.078,,0.298,0.361
1440,0.9,0.458,0.074,,0.305,0.387
1450,0.95,0.45,0.07,,0.305,0.392
1460,1,0.442,0.066,,0.321,0.419
1470,1.05,0.434,0.062,,0.319,0.407
1480,1.1,0.426,0.058,,0.309,0.407
1490,1.15,0.418,0.054,,0.293,0.379
1500,1.2,0.41,0.05,0.045,0.293,0.379
1510,1.172,0.414,0.052,,0.265,0.354
1520,1.144,0.418,0.054,,0.249,0.319
1530,1.116,0.422,0.056,,0.235,0.286
1540,1.088,0.426,0.058,,0.218,0.256
1550,1.06,0.43,0.06,,0.203,0.211
1560,1.032,0.434,0.062,,0.188,0.192
1570,1.004,0.438,0.064,,0.166,0.155
1580,0.976,0.442,0.066,,0.126,0.117
1590,0.948,0.446,0.068,,0.088,0.107
1600,0.92,0.45,0.07,0.103,0.088,0.098
1610,0.9165,0.449,0.0695,,0.076,0.098
1620,0.913,0.448,0.069,,0.076,0.09
1630,0.9095,0.447,0.0685,,0.076,0.09
1640,0.906,0.446,0.068,,0.073,0.09
1650,0.9025,0.445,0.0675,,0.073,0.09
1660,0.899,0.444,0.067,,0.073,0.09
1670,0.8955,0.443,0.0665,,0.072,0.09
1680,0.892,0.442,0.066,,0.072,0.09
1690,0.8885,0.441,0.0655,,0.081,0.09
1700,0.885,0.44,0.065,,0.092,0.09
1710,0.8815,0.439,0.0645,,0.092,0.09
1720,0.878,0.438,0.064,,0.099,0.09
1730,0.8745,0.437,0.0635,,0.099,0.09
1740,0.871,0.436,0.063,,0.111,0.09
1750,0.8675,0.435,0.0625,,0.111,0.09
1760,0.864,0.434,0.062,,0.122,0.09
1770,0.8605,0.433,0.0615,,0.122,0.09
1780,0.857,0.432,0.061,,0.122,0.09
1790,0.8535,0.431,0.0605,,0.133,0.09
1800,0.85,0.43,0.06,0.098,0.133,0.09
1810,0.935,0.431,0.058,,0.133,0.09
1820,1.02,0.432,0.056,,0.127,0.09
1830,1.105,0.433,0.054,,0.127,0.09
1840,1.19,0.434,0.052,,0.12,0.09
1850,1.275,0.435,0.05,,0.12,0.09
1860,1.36,0.436,0.048,,0.115,0.09
1870,1.445,0.437,0.046,,0.115,0.09
1880,1.53,0.438,0.044,,0.115,0.09
1890,1.615,0.439,0.042,,0.115,0.09
1900,1.7,0.44,0.04,,0.107,0.09
1910,1.785,0.441,0.038,,0.102,0.09
1920,1.87,0.442,0.036,,0.102,0.09
1930,1.955,0.443,0.034,,0.1,0.09
1940,2.04,0.444,0.032,,0.1,0.09
1950,2.125,0.445,0.03,,0.1,0.09
1960,2.21,0.446,0.028,,0.1,0.09
1970,2.295,0.447,0.026,,0.099,0.09
1980,2.38,0.448,0.024,,0.099,0.09
1990,2.465,0.449,0.022,,0.077,0.09
